fid,REGION,COMMUNE,AEZclass,AEZclassname,popsum2021,popmean2021,popsum2022,popmean2022,popsum2023,popmean2023,popsum2024,popmean2024,Rainfed_percentage,Wetland_percentage,Bare_percentage,Impervious_percentage,Water_percentage,Irrigated_percentage,Forest_percentage,Shrubland_percentage,Grassland_percentage
237,KAOLACK,KEUR BAKA,2,Tropics lowland; semi-arid with soil/terrain limitations,30913.68393,3.450573047,33766.55951,3.763968288,34320.78123,3.796126671,38033.52426,4.169885348,0.771,0,0,0.009,0,0,0.132,0.043,0.044
238,KAOLACK,LATMINGUE,2,Tropics lowland; semi-arid with soil/terrain limitations,43340.01469,3.553916744,47120.61535,3.84344334,48073.53367,3.885043936,51867.28237,4.190279719,0.664,0.02,0.027,0.008,0.001,0,0.007,0.073,0.198
239,KAOLACK,NDOFFANE,2,Tropics lowland; semi-arid with soil/terrain limitations,15109.08964,14.28080306,15341.69006,14.50065223,15767.93077,14.87540638,15884.86774,14.74918082,0.73,0,0,0.139,0,0,0.007,0.053,0.071
240,KAOLACK,THIARE,2,Tropics lowland; semi-arid with soil/terrain limitations,45211.14239,2.67315925,47012.14919,2.778988544,46315.62215,2.730873947,50916.05131,2.99347706,0.862,0,0,0.01,0,0,0.03,0.03,0.067
241,TAMBACOUNDA,KOUMPENTOUM,2,Tropics lowland; semi-arid with soil/terrain limitations,17674.32754,16.25973094,18096.52836,16.64814016,20609.787,18.60089079,19837.93424,17.83986892,0.039,0,0,0.082,0,0,0.002,0.544,0.333
242,KAFFRINE,KOUNGHEUL,2,Tropics lowland; semi-arid with soil/terrain limitations,30497.21174,32.86337472,30673.70753,32.80610431,33939.93889,36.26061848,30467.49942,32.51600791,0.028,0,0.001,0.373,0,0,0.002,0.239,0.357
243,TAMBACOUNDA,KOUSSANAR,2,Tropics lowland; semi-arid with soil/terrain limitations,39958.69367,2.226979528,40831.47755,2.274860858,41313.32026,2.296715603,43592.05493,2.417214979,0.005,0,0,0.001,0,0,0.001,0.953,0.04
244,TAMBACOUNDA,SINTHIOU MALEME,2,Tropics lowland; semi-arid with soil/terrain limitations,34226.83008,2.890779568,36420.21696,3.067482268,37521.96507,3.150723409,39555.47885,3.315909032,0.016,0,0,0.002,0,0,0.005,0.935,0.043
245,TAMBACOUNDA,KOUTHIA GUAYDI,2,Tropics lowland; semi-arid with soil/terrain limitations,14597.67153,1.272460908,14689.74494,1.280486832,14800.8167,1.288708464,15558.44517,1.346235629,0.003,0,0,0,0,0,0,0.957,0.039
246,TAMBACOUNDA,KOUTHIABA WOLOF,1,Tropics lowland; semi-arid no soil/terrain limitations,27210.72847,1.809584922,28349.29907,1.885302858,29670.11625,1.969473366,31186.47548,2.046490943,0.033,0,0,0.001,0,0,0.002,0.812,0.152
247,TAMBACOUNDA,PAYAR,1,Tropics lowland; semi-arid no soil/terrain limitations,39110.66442,1.387148942,40026.64022,1.419384405,40271.44211,1.424982913,42543.68405,1.49701552,0.021,0,0,0.001,0,0,0.002,0.698,0.279
248,TAMBACOUNDA,MALEM NIANI,2,Tropics lowland; semi-arid with soil/terrain limitations,4870.686051,3.313391871,5243.225522,3.566820083,5965.796361,4.058364871,5911.535002,3.99698107,0.038,0,0,0.008,0,0,0.009,0.8,0.146
249,TAMBACOUNDA,PASS KOTO,2,Tropics lowland; semi-arid with soil/terrain limitations,14280.34054,2.012732987,14510.00183,2.045102443,14443.37702,2.029989743,15287.11523,2.125276689,0.011,0,0,0.001,0,0,0.002,0.948,0.038
250,DIOURBEL,GAWANE,2,Tropics lowland; semi-arid with soil/terrain limitations,22118.29472,4.169329825,22654.77823,4.261621186,22467.88563,4.22249307,23509.46104,4.304185471,0.943,0,0,0.008,0,0,0,0.005,0.043
251,DIOURBEL,LAMBAYE,2,Tropics lowland; semi-arid with soil/terrain limitations,30770.96428,6.04062903,31663.17456,6.08907203,32131.70654,6.027331934,33078.83294,6.096356973,0.845,0,0,0.019,0,0,0,0.005,0.131
252,DIOURBEL,NGOGOM,2,Tropics lowland; semi-arid with soil/terrain limitations,39108.94858,6.866037322,40200.21679,6.96228209,40979.17951,7.008582096,41547.78028,7.026514508,0.837,0,0,0.027,0,0,0.002,0.017,0.117
253,DIOURBEL,REFANE,2,Tropics lowland; semi-arid with soil/terrain limitations,30947.43373,9.299108694,30786.05164,9.052058699,31574.87072,9.240524062,32072.90661,9.364352295,0.673,0,0,0.059,0,0,0,0.006,0.262
254,ZIGUINCHOR,MLOMP,2,Tropics lowland; semi-arid with soil/terrain limitations,12487.82861,3.849515601,12573.98025,3.853502987,12557.79161,3.836783262,12667.57773,3.864422735,0.009,0.271,0.001,0.005,0.223,0,0.285,0.054,0.151
255,ZIGUINCHOR,OUKOUT,2,Tropics lowland; semi-arid with soil/terrain limitations,9576.025847,2.949191822,9452.458495,2.900416844,9153.273154,2.804311628,9421.841129,2.886593483,0.002,0.19,0.002,0.003,0.117,0,0.451,0.015,0.22
256,LOUGA,LOUGA,53,Desert/Arid climate,83358.53375,33.0002113,82442.59458,32.63760672,85257.1851,33.72515233,77531.31122,30.42830111,0.078,0.001,0,0.551,0,0.001,0.001,0.033,0.334
257,KAFFRINE,LOUR ESCALE,2,Tropics lowland; semi-arid with soil/terrain limitations,26024.2524,3.041282272,26969.71301,3.096052464,28074.37794,3.206667954,29801.52683,3.328292029,0.048,0,0,0.002,0,0,0.002,0.571,0.377
258,KAFFRINE,RIBOT ESCALE,1,Tropics lowland; semi-arid no soil/terrain limitations,20689.67342,2.427225882,20722.73929,2.40458799,21155.04028,2.4465179,22823.77064,2.585091249,0.049,0,0,0.001,0,0,0.002,0.448,0.5
259,KAFFRINE,MABO,2,Tropics lowland; semi-arid with soil/terrain limitations,32983.5395,2.088755589,34201.92519,2.165364051,35079.1246,2.214171849,36231.29719,2.280993276,0.683,0.012,0,0.01,0.002,0,0.017,0.162,0.113
260,KAFFRINE,MBEULEUP,2,Tropics lowland; semi-arid with soil/terrain limitations,9113.461533,2.105211719,9590.374841,2.215378804,10127.05948,2.338812814,10614.75822,2.440174303,0.687,0,0,0.01,0,0,0.014,0.154,0.136
261,KAFFRINE,NDIOGNICK,2,Tropics lowland; semi-arid with soil/terrain limitations,29058.97195,2.094038477,30471.30598,2.192495753,32858.70726,2.35850612,34519.75706,2.46622541,0.709,0,0,0.011,0,0,0.003,0.076,0.201
262,KAFFRINE,SEGRE GATTA,2,Tropics lowland; semi-arid with soil/terrain limitations,7408.153147,1.77781453,7766.161382,1.861496017,7870.709646,1.877106999,8197.89931,1.950951763,0.838,0,0,0.009,0,0,0.021,0.062,0.07
263,TAMBACOUNDA,MAKACOLIBANTANG,2,Tropics lowland; semi-arid with soil/terrain limitations,40944.22932,2.449989787,42706.39173,2.545228663,41778.76295,2.484317236,44709.20237,2.658097644,0.035,0,0,0.003,0,0,0.032,0.862,0.068
264,TAMBACOUNDA,NDOGA BABACAR,2,Tropics lowland; semi-arid with soil/terrain limitations,21765.7063,2.379025718,22164.41798,2.418376211,21553.53022,2.346090151,23372.69996,2.542445335,0.03,0,0,0.001,0,0,0.014,0.893,0.062
265,TAMBACOUNDA,NIANI TOUCOULEUR,2,Tropics lowland; semi-arid with soil/terrain limitations,15384.23706,1.863626537,16276.68361,1.96816005,15842.70049,1.913138569,17153.05148,2.070874258,0.03,0,0,0.002,0,0,0.022,0.858,0.088
266,KAFFRINE,MALEM HODDAR,2,Tropics lowland; semi-arid with soil/terrain limitations,11245.42692,7.432535966,11966.53184,7.720343121,13554.81782,8.683419487,12959.51194,8.291434384,0.295,0,0,0.016,0,0,0,0.277,0.412
267,DAKAR,KEUR MASSAR NORD,56,Dominantly built-up land,186094.9345,99.62255593,189516.1502,101.4540419,194131.6275,103.8692496,198071.5041,105.9772627,0.014,0.002,0.01,0.614,0.002,0.001,0.019,0.09,0.242
268,DAKAR,MALIKA,53,Desert/Arid climate,52742.91573,67.2741272,54339.61239,68.95889897,56377.37474,71.45421387,55838.46205,70.59224026,0,0.014,0.032,0.425,0.029,0,0.023,0.094,0.369
269,KOLDA,BAGADADJI,2,Tropics lowland; semi-arid with soil/terrain limitations,20971.97782,4.301944169,21960.63646,4.500130423,21819.23112,4.469322229,23472.77518,4.804088249,0.009,0,0,0.004,0,0,0.825,0.146,0.015
270,KOLDA,COUMBACARA,2,Tropics lowland; semi-arid with soil/terrain limitations,14840.60405,3.699053852,14962.76483,3.723933507,15144.96656,3.766467685,16285.3854,4.050083412,0.006,0,0,0.002,0,0,0.891,0.093,0.007
271,KOLDA,DABO,2,Tropics lowland; semi-arid with soil/terrain limitations,11134.68407,6.768804905,11396.67089,6.923858377,12262.27547,7.449742086,12260.94625,7.444411811,0.024,0,0,0.022,0,0,0.524,0.382,0.049
272,KOLDA,DIALAMBERE,2,Tropics lowland; semi-arid with soil/terrain limitations,14803.74337,3.52806086,15561.15109,3.708567943,15604.21302,3.713520472,16704.03269,3.958301586,0.009,0,0,0.002,0,0,0.736,0.236,0.017
273,KOLDA,MAMPATIM,50,Land with severe soil/terrain limitations,17124.18182,3.051351001,19146.0355,3.409194356,19269.87149,3.42028248,19944.29323,3.527466083,0.016,0,0,0.005,0,0,0.607,0.328,0.044
274,KOLDA,MEDINA CHERIF,52,Dominantly hydromorphic soils,15117.07819,3.140232279,15955.73512,3.311692635,15843.80334,3.276898313,16496.7439,3.407714089,0.042,0.013,0,0.003,0.003,0,0.539,0.34,0.06
275,SEDHIOU,MARSASSOUM,2,Tropics lowland; semi-arid with soil/terrain limitations,9784.634346,15.07647819,10152.80999,15.52417429,10531.43926,16.07853322,9792.881922,14.95096477,0.042,0.006,0,0.075,0.178,0,0.442,0.143,0.112
276,KAOLACK,FASS,2,Tropics lowland; semi-arid with soil/terrain limitations,4333.761813,16.05096968,4253.835441,15.75494608,4427.142598,16.39682444,4192.354439,15.52723866,0.613,0,0,0.142,0,0,0,0.043,0.202
277,KAOLACK,KHELCOM BIRANE,2,Tropics lowland; semi-arid with soil/terrain limitations,15785.96393,4.436752089,16544.58986,4.552721481,17426.26515,4.727689949,18263.59212,4.928114441,0.871,0,0,0.009,0,0,0.002,0.028,0.09
278,KAOLACK,MBADAKHOUNE,2,Tropics lowland; semi-arid with soil/terrain limitations,31123.15571,5.140924299,33716.57623,5.508344426,36734.89414,5.936472873,36875.33451,5.944758103,0.748,0.012,0.009,0.009,0.002,0,0.003,0.03,0.187
279,KAOLACK,NDIAGO,2,Tropics lowland; semi-arid with soil/terrain limitations,16415.30024,2.019847452,16326.33068,2.008158755,16305.68959,2.004140805,16978.55484,2.070050578,0.731,0,0,0.004,0,0,0.001,0.017,0.248
280,KAOLACK,NGATHIE NAOUDE,2,Tropics lowland; semi-arid with soil/terrain limitations,20394.98385,2.401953109,21247.36881,2.500573004,21385.80819,2.516273466,21998.47998,2.588360981,0.661,0.001,0.004,0.005,0,0,0.001,0.035,0.292
281,SAINT LOUIS,GAE,51,Ample irrigated soils,8733.742054,6.50315864,9295.446836,6.750506054,10065.92543,7.034189681,10331.32683,7.219655369,0.003,0.116,0.001,0.016,0.005,0.126,0.059,0.484,0.189
282,SAINT LOUIS,BOKHOL,53,Desert/Arid climate,30047.50435,4.183723803,30747.12875,4.235141702,31574.9961,4.302943049,33162.82561,4.497874083,0.002,0.015,0,0.003,0.003,0.014,0.017,0.031,0.913
283,SAINT LOUIS,MBANE,53,Desert/Arid climate,63512.17158,2.64876852,62342.07706,2.593696,61542.08861,2.54001769,67061.97278,2.759070714,0.014,0.004,0,0.001,0.004,0.007,0.009,0.023,0.938
284,SAINT LOUIS,NDOMBO SANDJIRY,51,Ample irrigated soils,4716.167449,9.00031956,4869.480611,9.29290193,5280.77843,9.761143124,5279.825024,9.705560705,0.02,0.012,0,0.03,0,0.105,0.227,0.211,0.395
285,LOUGA,KELE GUEYE,53,Desert/Arid climate,12168.6428,4.203330847,13060.16151,4.511282042,13569.80487,4.664766196,14303.6316,4.680507723,0.266,0,0,0.016,0,0,0,0.003,0.708
286,LOUGA,MBEDIENE,53,Desert/Arid climate,13832.56192,2.849724335,14069.76243,2.88906826,13939.03742,2.831986474,14801.67117,2.966266768,0.419,0,0,0.006,0,0,0,0.001,0.57
287,LOUGA,NGUIDILE,53,Desert/Arid climate,34814.50532,6.576219365,37603.93843,7.103123996,39472.15121,7.34638958,39299.8826,7.171511423,0.211,0,0,0.029,0,0,0,0.005,0.751
288,LOUGA,NIOMRE,53,Desert/Arid climate,19346.57834,5.656894251,20378.52807,5.942994479,20557.14964,5.944809034,21229.12215,6.029287744,0.477,0,0,0.013,0,0,0,0.003,0.506
289,THIES,MBOUR,56,Dominantly built-up land,144785.5412,50.22044438,140131.4171,48.6061107,139134.5959,48.26035238,131495.5698,45.61067285,0.03,0.001,0.002,0.777,0.001,0,0.019,0.084,0.085
290,KAOLACK,KAYEMOR,2,Tropics lowland; semi-arid with soil/terrain limitations,33102.70932,3.323565193,34117.50724,3.4206444,35218.00748,3.520392591,36937.82804,3.68751403,0.685,0.008,0,0.011,0.001,0,0.031,0.189,0.075
291,KAOLACK,MEDINA SABAKH,2,Tropics lowland; semi-arid with soil/terrain limitations,61820.87048,4.347764996,61876.80129,4.348945832,62301.21869,4.368030477,64411.64301,4.500848509,0.636,0.031,0.006,0.017,0.006,0,0.066,0.166,0.073
292,KAOLACK,NGAYENE,2,Tropics lowland; semi-arid with soil/terrain limitations,34309.5847,3.106064159,35087.7998,3.176516368,35759.20373,3.234370815,37461.58795,3.384675456,0.695,0,0,0.01,0,0,0.102,0.149,0.045
293,THIES,MBORO,53,Desert/Arid climate,29722.16586,23.53298959,28585.1143,22.52570078,29367.36463,23.10571568,29175.08621,22.95443447,0.173,0.001,0.002,0.333,0,0.004,0.255,0.076,0.15
294,THIES,DAROU KHOUDOSS,53,Desert/Arid climate,119167.3408,5.045188009,124413.6069,5.218691565,128193.3049,5.353209374,131141.2553,5.472199261,0.362,0.009,0.049,0.019,0,0.002,0.054,0.126,0.352
295,THIES,MEOUANE,2,Tropics lowland; semi-arid with soil/terrain limitations,35966.56703,5.281434218,37249.27325,5.404711731,38742.03543,5.463550336,42055.71787,5.795991988,0.226,0,0.005,0.014,0,0,0.004,0.028,0.717
296,THIES,TAIBA NDIAYE,2,Tropics lowland; semi-arid with soil/terrain limitations,30205.19014,6.536505116,30516.5129,6.547202939,31851.8224,6.769781594,32248.35693,6.799147571,0.389,0,0.022,0.024,0,0.001,0.024,0.165,0.368
297,THIES,MEKHE,2,Tropics lowland; semi-arid with soil/terrain limitations,18551.01303,27.8962602,17836.81693,26.8222811,18231.31765,27.41551527,17722.1224,26.17743338,0.151,0,0.001,0.457,0,0,0,0.019,0.37
298,THIES,KOUL,2,Tropics lowland; semi-arid with soil/terrain limitations,28154.84572,4.139201076,29212.14237,4.277660327,29130.82833,4.218191186,31727.9451,4.490862718,0.805,0,0,0.016,0,0,0,0.002,0.174
299,THIES,MERINA DAKHAR,2,Tropics lowland; semi-arid with soil/terrain limitations,44175.43887,3.321461569,47260.2167,3.535588891,47680.54434,3.526145862,51264.18437,3.750397569,0.586,0,0,0.016,0,0,0,0.002,0.394
300,THIES,PEKESSE,2,Tropics lowland; semi-arid with soil/terrain limitations,22902.15888,3.882379874,23396.15383,3.966122025,24772.33647,4.167620536,26915.67884,4.459191326,0.782,0,0,0.021,0,0,0,0.002,0.195
301,TAMBACOUNDA,DIALACOTO,50,Land with severe soil/terrain limitations,28917.49672,2.358494145,30202.70913,2.458703121,30321.72351,2.463178189,32390.43477,2.630588384,0.001,0.002,0,0,0,0,0.539,0.455,0.002
302,TAMBACOUNDA,MISSIRAH,50,Land with severe soil/terrain limitations,52414.95532,3.8242343,55089.06492,3.997174932,56314.94292,4.056688008,59715.51268,4.294844123,0.013,0.004,0,0.003,0,0,0.197,0.749,0.035
303,TAMBACOUNDA,NETTEBOULOU,2,Tropics lowland; semi-arid with soil/terrain limitations,22344.15517,2.285847077,23521.14313,2.402568246,24050.09756,2.443618935,25774.60342,2.618571921,0.021,0.002,0,0.002,0.001,0,0.036,0.895,0.043
304,KAFFRINE,NGAINTHE PATHE,2,Tropics lowland; semi-arid with soil/terrain limitations,31576.61497,1.940310616,32724.76408,1.996508089,32725.19886,1.995682331,34951.69559,2.111757331,0.053,0,0,0.001,0,0,0.002,0.663,0.281
305,KAFFRINE,MAKA YOP,2,Tropics lowland; semi-arid with soil/terrain limitations,17917.07807,2.325081504,18597.09487,2.396841715,19198.64383,2.474370903,20108.71178,2.58068683,0.231,0,0,0.002,0,0,0.003,0.593,0.17
306,KAFFRINE,MISSIRAH WADENE,2,Tropics lowland; semi-arid with soil/terrain limitations,24668.03658,3.414261118,26096.52401,3.568511419,27511.78288,3.7461578,28200.49717,3.784793607,0.263,0,0,0.003,0,0,0.009,0.614,0.111
307,TAMBACOUNDA,BALLOU,2,Tropics lowland; semi-arid with soil/terrain limitations,16830.48723,8.394257968,16879.76973,8.360460491,16544.8968,8.074620207,17272.87314,8.364587479,0.006,0.009,0.002,0.005,0.002,0.001,0.003,0.572,0.399
308,TAMBACOUNDA,DIAWARA,52,Dominantly hydromorphic soils,11602.23958,20.68135397,11687.76242,20.8338011,12719.85329,22.67353527,12007.116,21.40305883,0.003,0.053,0.001,0.134,0.005,0.002,0.002,0.069,0.7
309,TAMBACOUNDA,GABOU,2,Tropics lowland; semi-arid with soil/terrain limitations,23126.75212,5.526105644,24125.82257,5.694081324,23764.61084,5.524084341,25576.30174,5.895874075,0.004,0.001,0,0.002,0,0,0.002,0.423,0.567
310,TAMBACOUNDA,MOUDERY,1,Tropics lowland; semi-arid no soil/terrain limitations,24274.35788,8.657046318,25407.17423,8.93046546,26234.15179,9.166370297,27187.25338,9.463018926,0.002,0.036,0.001,0.006,0.002,0.003,0.005,0.064,0.88
311,DIOURBEL,DALLA NGABOU,2,Tropics lowland; semi-arid with soil/terrain limitations,22504.62921,5.2009774,26444.29637,6.087545204,28330.07702,6.479889529,30913.0779,7.025699523,0.823,0,0,0.013,0,0,0,0.021,0.142
312,DIOURBEL,MISSIRAH,2,Tropics lowland; semi-arid with soil/terrain limitations,11318.05735,3.493227578,12029.08786,3.702397003,13004.48284,3.992779502,14624.46855,4.460039205,0.939,0,0,0.004,0,0,0,0.002,0.055
313,DIOURBEL,NGHAYE,2,Tropics lowland; semi-arid with soil/terrain limitations,9310.447121,3.218267239,10104.55087,3.467587806,11027.99368,3.758689053,12406.81477,4.202850533,0.899,0,0,0.004,0,0,0,0.006,0.09
314,DIOURBEL,TOUBA FALL,2,Tropics lowland; semi-arid with soil/terrain limitations,17333.48394,4.035735493,18908.07009,4.393138962,20581.14295,4.753150797,23028.69711,5.301265449,0.914,0,0,0.002,0,0,0,0.002,0.082
315,DIOURBEL,TOUBA MOSQUEE,2,Tropics lowland; semi-arid with soil/terrain limitations,1001408.466,26.63887174,1027223.059,27.32048883,1058689.333,28.13194093,1078822.139,28.61976758,0.545,0,0,0.15,0,0,0,0.007,0.297
316,LOUGA,GUEOUL,53,Desert/Arid climate,8733.684491,19.75946717,8893.67103,20.12142767,9219.669158,20.71835766,8616.170124,19.31876709,0.025,0,0,0.287,0,0,0,0.002,0.682
317,LOUGA,BADEGNE OUOLOF,53,Desert/Arid climate,17001.74163,3.451429482,18342.16083,3.689091077,18837.97063,3.730291214,19755.0696,3.811512561,0.042,0,0,0.007,0,0,0,0.001,0.919
318,LOUGA,DIOKOUL DIAWRIGNE,53,Desert/Arid climate,19342.98736,2.935648408,19994.44116,3.007135082,20036.95464,2.992823695,20798.92673,3.099691018,0.072,0,0,0.009,0,0,0.001,0.005,0.896
319,LOUGA,KAB GAYE,2,Tropics lowland; semi-arid with soil/terrain limitations,12200.59878,3.026692825,12230.19265,3.022786121,11886.47629,2.932760003,12611.65831,3.099449081,0.217,0,0,0.004,0,0,0,0.004,0.765
320,LOUGA,NDANDE,2,Tropics lowland; semi-arid with soil/terrain limitations,25978.0901,5.123883649,27533.32877,5.380756061,29034.21386,5.638806343,29537.62782,5.672676748,0.119,0,0,0.024,0,0,0.001,0.003,0.841
321,LOUGA,THIEPPE,53,Desert/Arid climate,29299.17594,3.029591142,29017.26068,2.962456425,28861.98728,2.92184524,30187.40188,3.030559369,0.089,0.004,0.04,0.005,0,0.001,0.006,0.033,0.789
322,SAINT LOUIS,ROSS BETHIO,53,Desert/Arid climate,17344.04241,8.598930296,18524.29245,9.138772795,19590.37052,9.631450601,18773.59332,9.193728364,0.016,0.006,0.056,0.014,0,0.023,0.004,0.125,0.743
323,SAINT LOUIS,ROSSO,51,Ample irrigated soils,11659.73236,13.17483882,11969.38634,13.52473033,12690.57874,13.89986718,12015.4756,13.14603458,0.004,0.059,0,0.029,0.03,0.214,0.148,0.203,0.307
324,SAINT LOUIS,DIAMA,53,Desert/Arid climate,57419.20759,4.398928031,60151.65661,4.573227143,60946.60466,4.593157334,63442.37783,4.773333671,0.028,0.146,0.037,0.004,0.028,0.081,0.027,0.149,0.496
325,SAINT LOUIS,NGNITH,53,Desert/Arid climate,31204.7413,3.544784881,31860.21387,3.601244927,31669.20211,3.562339944,33547.57322,3.768543385,0.039,0.038,0.015,0.002,0.145,0.002,0.003,0.035,0.712
326,SAINT LOUIS,RONKH,51,Ample irrigated soils,25943.34265,4.272619013,26982.48314,4.422632871,26804.74512,4.359203956,27608.97857,4.45521681,0.005,0.068,0.011,0.004,0.048,0.11,0.081,0.208,0.455
327,KAOLACK,KEUR SOCE,2,Tropics lowland; semi-arid with soil/terrain limitations,33081.0663,3.953282301,36622.82323,4.354675771,36838.77125,4.316706263,40174.08163,4.700372251,0.833,0,0,0.014,0,0,0.075,0.041,0.038
328,KAOLACK,NDIAFFATE,2,Tropics lowland; semi-arid with soil/terrain limitations,44219.59707,6.079130749,45951.55095,6.308559988,47769.36071,6.341346171,50743.45498,6.652262058,0.493,0.042,0.042,0.009,0.077,0,0.016,0.075,0.244
329,KAOLACK,NDIEDIENG,2,Tropics lowland; semi-arid with soil/terrain limitations,31546.60241,3.550546135,32544.34902,3.648060646,32542.48869,3.59625248,35596.91482,3.919501742,0.843,0,0,0.017,0,0,0.04,0.066,0.034
330,DIOURBEL,NDANKH SENE,2,Tropics lowland; semi-arid with soil/terrain limitations,13474.97046,3.952763407,13795.97339,4.044553911,14321.52051,4.159605142,15598.34832,4.480996357,0.953,0,0,0.007,0,0,0,0.002,0.038
331,DIOURBEL,GADE ESCALE,2,Tropics lowland; semi-arid with soil/terrain limitations,5394.634592,4.221153828,5650.631055,4.397378253,6414.009785,4.983690587,6859.498237,5.264388517,0.954,0,0,0.005,0,0,0,0.002,0.039
332,DIOURBEL,KEUR NGALGOU,2,Tropics lowland; semi-arid with soil/terrain limitations,12315.26349,3.314118269,13380.06432,3.571827102,13522.68473,3.589775611,14720.00197,3.8869823,0.925,0,0,0.005,0,0,0,0.003,0.066
333,DIOURBEL,NDINDY,2,Tropics lowland; semi-arid with soil/terrain limitations,24033.42965,3.345876325,24432.51385,3.390108762,23703.23719,3.279816963,25706.43609,3.52336021,0.966,0,0,0.005,0,0,0,0.003,0.027
334,DIOURBEL,TAIBA MOUTOUPHA,2,Tropics lowland; semi-arid with soil/terrain limitations,18123.21296,3.674617389,18808.6598,3.795129095,18678.04022,3.74684859,20236.39212,4.035977687,0.94,0,0,0.007,0,0,0,0.008,0.044
335,DIOURBEL,TOUBA LAPPE,2,Tropics lowland; semi-arid with soil/terrain limitations,8785.118544,3.469636076,8959.906442,3.538667631,8810.48278,3.468694008,9383.676839,3.658353544,0.968,0,0,0.004,0,0,0,0.002,0.024
336,FATICK,DIAKHAO,2,Tropics lowland; semi-arid with soil/terrain limitations,4523.994179,6.064335361,4594.815548,6.069769548,4729.946839,6.166814653,4528.855865,5.858804482,0.809,0,0,0.054,0,0,0,0.025,0.112
337,FATICK,DIAOULE,2,Tropics lowland; semi-arid with soil/terrain limitations,15121.36737,2.76088504,15002.57197,2.720321299,14864.95493,2.677887756,16050.87712,2.891528935,0.915,0,0,0.008,0,0,0,0.011,0.067
338,FATICK,MBELLACADIAO,2,Tropics lowland; semi-arid with soil/terrain limitations,19433.88021,2.56282213,20832.20407,2.74396787,21397.30016,2.81617533,22412.02984,2.948951294,0.443,0.027,0.086,0.005,0.025,0,0.001,0.038,0.37
339,FATICK,NDIOP,2,Tropics lowland; semi-arid with soil/terrain limitations,18330.87159,2.369247976,19439.94589,2.492300755,19546.50729,2.467993345,20570.26987,2.597256297,0.923,0,0,0.01,0,0,0,0.005,0.061
340,FATICK,THIARE NDIALGUI,2,Tropics lowland; semi-arid with soil/terrain limitations,20348.931,2.421338767,20589.23667,2.421123786,20997.77953,2.453298228,22095.11047,2.581506072,0.87,0,0,0.01,0,0,0.001,0.017,0.102
341,KOLDA,BIGNARABE,2,Tropics lowland; semi-arid with soil/terrain limitations,11849.05571,4.182511722,12197.96371,4.284497262,12580.24746,4.412573646,12662.53397,4.43987867,0.009,0.002,0,0.002,0,0,0.842,0.133,0.012
342,KOLDA,BOUROUCO,2,Tropics lowland; semi-arid with soil/terrain limitations,26748.0995,2.67480995,26884.24007,2.673452672,27426.87602,2.701090804,28184.6113,2.763197186,0.116,0,0,0.002,0,0,0.466,0.401,0.015
343,KOLDA,KOULINTO,2,Tropics lowland; semi-arid with soil/terrain limitations,12466.77828,2.404856921,12466.35223,2.395993126,12424.7122,2.382038382,12856.24611,2.460525572,0.007,0,0,0.001,0,0,0.819,0.163,0.01
344,KOLDA,NDORNA,2,Tropics lowland; semi-arid with soil/terrain limitations,19679.05526,2.861991747,19821.28513,2.86973869,19925.53325,2.866983202,20496.17265,2.940627353,0.011,0,0,0.001,0,0,0.856,0.123,0.01
345,DIOURBEL,DIOURBEL,2,Tropics lowland; semi-arid with soil/terrain limitations,121181.0951,35.19636802,116321.851,33.77521807,118976.214,34.52588915,110314.2132,31.92886056,0.417,0,0,0.382,0,0,0.002,0.063,0.135
346,DIOURBEL,NDOULO,2,Tropics lowland; semi-arid with soil/terrain limitations,16877.37423,5.249572079,18143.60381,5.471533115,18430.20577,5.485180289,19802.8743,5.865780301,0.919,0,0,0.01,0,0,0.001,0.017,0.053
347,DIOURBEL,NGOHE,2,Tropics lowland; semi-arid with soil/terrain limitations,40763.3717,4.887108465,45249.98059,5.360101942,46699.34693,5.499216549,48677.91915,5.724120314,0.911,0,0,0.013,0,0,0.001,0.018,0.057
348,DIOURBEL,PATTAR,2,Tropics lowland; semi-arid with soil/terrain limitations,26527.29714,5.130012985,27506.01193,5.215398545,28677.88809,5.394636585,30195.14254,5.675778673,0.907,0,0,0.011,0,0,0,0.007,0.075
349,DIOURBEL,TOCKY GARE,2,Tropics lowland; semi-arid with soil/terrain limitations,29394.14537,4.144106213,30370.42145,4.225743906,30630.16879,4.136417122,32649.8461,4.375481922,0.923,0,0,0.007,0,0,0,0.007,0.063
350,DIOURBEL,TOURE MBONDE,2,Tropics lowland; semi-arid with soil/terrain limitations,19785.32769,3.489475784,21162.55173,3.692645564,21222.2983,3.626503468,23242.4456,3.914187538,0.942,0,0,0.008,0,0,0,0.011,0.039
351,KAOLACK,DYA,2,Tropics lowland; semi-arid with soil/terrain limitations,28369.38365,5.06415274,31038.61635,5.514055134,32827.33911,5.823547829,35050.37806,6.201411546,0.684,0.016,0.053,0.007,0.006,0,0.001,0.029,0.201
352,KAOLACK,GANDIAYE,2,Tropics lowland; semi-arid with soil/terrain limitations,20349.07536,10.84705509,20727.04136,11.04264324,21674.80113,11.54757652,21439.52301,11.41614644,0.778,0,0,0.062,0,0,0.004,0.074,0.082
353,KAOLACK,NDIEBEL,2,Tropics lowland; semi-arid with soil/terrain limitations,20378.42139,4.710684556,21349.82606,4.844525995,21479.89263,4.771188945,23942.19142,5.318123372,0.929,0,0,0.009,0,0,0.002,0.018,0.042
